iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
MTW,WAOM,Beringin Airport,Muara Teweh,ID,-0.938889,114.886002,2952,1,Asia/Jakarta,15000,small_airport
MTY,MMMY,Monterrey International Airport,Monterrey,MX,25.778500,-100.107000,9842,40,America/Monterrey,1100000,large_airport
MUC,EDDM,Munich Airport,Munich,DE,48.353802,11.786100,13123,90,Europe/Berlin,1300000,large_airport
MUE,PHMU,Waimea Kohala Airport,Waimea (Kamuela),US,20.001301,-155.667999,5197,25,Pacific/Honolulu,8000,small_airport
MUI,KMUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),US,40.435214,-76.568661,3967,25,America/New_York,4000,small_airport
MUO,KMUO,Mountain Home Air Force Base,Mountain Home,US,43.043598,-115.872002,13500,25,America/Los_Angeles,15000,small_airport
MWA,KMWA,Veterans Airport of Southern Illinois,Marion,US,37.751208,-89.016568,8012,25,America/New_York,8000,small_airport
MWH,KMWH,Grant County International Airport,Moses Lake,US,47.207699,-119.32,13503,45,America/Anchorage,65000,small_airport
MWL,KMWL,Mineral Wells Regional Airport,Mineral Wells,US,32.781601,-98.060204,5996,25,America/Chicago,5000,small_airport
MWX,RKJB,Muan International Airport,Muan,KR,34.991501,126.381000,9186,6,Asia/Seoul,150000,medium_airport
MXF,KMXF,Maxwell Air Force Base,Montgomery,US,32.3829,-86.365799,8013,25,America/New_York,18000,small_airport
MXL,MMML,General Rodolfo Sánchez Taboada International Airport,Mexicali,MX,32.630600,-115.242000,8530,6,America/Tijuana,270000,medium_airport
MXP,LIMC,Milan Malpensa International Airport,Ferno (VA),IT,45.630600,8.728110,12861,60,Europe/Rome,1100000,large_airport
MXV,ZMMN,Mörön Airport,Mörön,MN,49.663056,100.099167,8005,3,Asia/Ulaanbaatar,85000,small_airport
MXZ,ZGMX,Meixian Airport,Meizhou,CN,24.267401,116.097000,5905,4,Asia/Shanghai,80000,small_airport
MYE,RJTQ,Miyakejima Airport,Miyakejima,JP,34.073601,139.559998,4350,2,Asia/Tokyo,45000,medium_airport
MYG,MYMM,Mayaguana Airport,Mayaguana,BS,22.380800,-73.013600,7700,1,America/Nassau,15000,small_airport
MYJ,RJOM,Matsuyama Airport,Matsuyama,JP,33.827202,132.699997,8202,10,Asia/Tokyo,360000,medium_airport
MYL,KMYL,McCall Municipal Airport,McCall,US,44.888837,-116.101112,6107,25,America/Los_Angeles,8000,small_airport
MYQ,VYMK,Myitkyina Airport,Myitkyina,MM,25.368300,97.352402,6000,2,Asia/Yangon,65000,small_airport
MYR,KMYR,Myrtle Beach International Airport,Myrtle Beach,US,33.679699,-78.928299,9503,80,America/New_York,840000,medium_airport
MYT,VYME,Myeik Airport,Myeik,MM,12.439700,98.621498,9000,3,Asia/Yangon,55000,medium_airport
MYU,PAMY,Mekoryuk Airport,Mekoryuk,US,60.372338,-166.269751,3070,25,Pacific/Honolulu,2000,small_airport
MYV,KMYV,Yuba County Airport,Marysville,US,39.097801,-121.57,6006,25,America/Anchorage,8000,small_airport
MYY,WBGR,Miri Airport,Miri,MY,4.322000,113.987000,9003,8,Asia/Kuala_Lumpur,350000,large_airport
MZG,RCQC,Penghu Airport,Magong,TW,23.568100,119.630000,9843,8,Asia/Taipei,320000,medium_airport
MZO,MUMZ,Sierra Maestra Airport,Manzanillo,CU,20.289400,-77.085000,9842,3,America/Havana,60000,small_airport
MZT,MMMZ,General Rafael Buelna International Airport,Mazatlán,MX,23.161300,-106.266000,8530,8,America/Mazatlan,340000,medium_airport
NAM,WAPR,Namlea Airport,Namlea,ID,-3.238610,127.056000,5249,1,Asia/Jayapura,25000,small_airport
NAN,NFFN,Nadi International Airport,Nadi,FJ,-17.755400,177.442993,10738,15,Pacific/Fiji,650000,large_airport
NAS,MYNN,Lynden Pindling International Airport,Nassau,BS,25.038900,-77.466100,11017,20,America/Nassau,480000,large_airport
NBG,KNBG,New Orleans NAS JRB/Alvin Callender Field,New Orleans,US,29.8253,-90.035004,9999,25,America/Chicago,15000,small_airport
NBO,HKJK,Jomo Kenyatta International Airport,Nairobi,KE,-1.318886,36.928233,13507,25,Africa/Nairobi,700000,large_airport
NBS,ZYBS,Changbaishan Airport,Baishan,CN,42.066400,127.610000,8530,8,Asia/Shanghai,250000,medium_airport
NBX,WABI,Douw Aturure Airport,Nabire,ID,-3.366670,135.498001,4593,3,Asia/Jayapura,120000,medium_airport
